date,open,high,low,close,volume
2024-06-03 09:20:00+05:30,59089.85,59339.85,59039.85,59289.85,0
2024-06-03 09:15:00+05:30,59889.85,60139.85,59839.85,60089.85,0
2024-06-03 09:25:00+05:30,58289.85,58539.85,58239.85,58489.85,0
2024-06-03 09:30:00+05:30,57489.85,57739.85,57439.85,57689.85,0
2024-06-03 09:35:00+05:30,56689.85,56939.85,56639.85,56889.85,0
2024-06-03 09:40:00+05:30,55889.85,56139.85,55839.85,56089.85,0
2024-06-03 09:45:00+05:30,55089.85,55339.85,55039.85,55289.85,0
2024-06-03 09:50:00+05:30,54289.85,54539.85,54239.85,54489.85,0
2024-06-03 09:55:00+05:30,53489.85,53739.85,53439.85,53689.85,0
2024-06-03 10:00:00+05:30,52689.85,52939.85,52639.85,52889.85,0
2024-06-03 10:05:00+05:30,51889.85,52139.85,51839.85,52089.85,0
2024-06-03 10:10:00+05:30,51089.85,51339.85,51039.85,51289.85,0
2024-06-03 10:15:00+05:30,50289.85,50539.85,50239.85,50489.85,0
2024-06-03 10:20:00+05:30,49489.85,49739.85,49439.85,49689.85,0
2024-06-03 10:25:00+05:30,48689.85,48939.85,48639.85,48889.85,0
2024-06-03 10:30:00+05:30,47889.85,48139.85,47839.85,48089.85,0
2024-06-03 10:35:00+05:30,47089.85,47339.85,47039.85,47289.85,0
2024-06-03 10:40:00+05:30,46289.85,46539.85,46239.85,46489.85,0
2024-06-03 10:45:00+05:30,45489.85,45739.85,45439.85,45689.85,0
2024-06-03 10:50:00+05:30,44689.85,44939.85,44639.85,44889.85,0
2024-06-03 10:55:00+05:30,43889.85,44139.85,43839.85,44089.85,0
2024-06-03 11:00:00+05:30,43089.85,43339.85,43039.85,43289.85,0
2024-06-03 11:05:00+05:30,42289.85,42539.85,42239.85,42489.85,0
2024-06-03 11:10:00+05:30,41489.85,41739.85,41439.85,41689.85,0
2024-06-03 11:15:00+05:30,40689.85,40939.85,40639.85,40889.85,0
2024-06-03 11:20:00+05:30,39889.85,40139.85,39839.85,40089.85,0
2024-06-03 11:25:00+05:30,39089.85,39339.85,39039.85,39289.85,0
2024-06-03 11:30:00+05:30,38289.85,38539.85,38239.85,38489.85,0
2024-06-03 11:35:00+05:30,37489.85,37739.85,37439.85,37689.85,0
2024-06-03 11:40:00+05:30,36689.85,36939.85,36639.85,36889.85,0
2024-06-03 11:45:00+05:30,35889.85,36139.85,35839.85,36089.85,0
2024-06-03 11:50:00+05:30,35089.85,35339.85,35039.85,35289.85,0
2024-06-03 11:55:00+05:30,34289.85,34539.85,34239.85,34489.85,0
2024-06-03 12:00:00+05:30,33489.85,33739.85,33439.85,33689.85,0
2024-06-03 12:05:00+05:30,32689.85,32939.85,32639.85,32889.85,0
2024-06-03 12:10:00+05:30,31889.85,32139.85,31839.85,32089.85,0
2024-06-03 12:15:00+05:30,31089.85,31339.85,31039.85,31289.85,0
2024-06-03 12:20:00+05:30,30289.85,30539.85,30239.85,30489.85,0
2024-06-03 12:25:00+05:30,29489.85,29739.85,29439.85,29689.85,0
2024-06-03 12:30:00+05:30,28689.85,28939.85,28639.85,28889.85,0
2024-06-03 12:35:00+05:30,27889.85,28139.85,27839.85,28089.85,0
2024-06-03 12:40:00+05:30,27089.85,27339.85,27039.85,27289.85,0
2024-06-03 12:45:00+05:30,26289.85,26539.85,26239.85,26489.85,0
2024-06-03 12:50:00+05:30,25489.85,25739.85,25439.85,25689.85,0
2024-06-03 12:55:00+05:30,24689.85,24939.85,24639.85,24889.85,0
